policy_id,inception_date,expiry_date,exposure_years,vehicle_age_years,vehicle_make,vehicle_segment,cubic_capacity,idv_inr,ncb_pct,policyholder_age,policyholder_gender,region,prior_claims_3y,claim_count,claim_amount_inr,fraud_flag
ABC-MOT-000015,2024-11-09,2025-11-09,0.1452,6,Maruti,SUV,2455,612662,20,46,M,Tier1,0,0,0.0,0
ABC-MOT-000016,2024-07-23,2025-07-23,0.4438,0,Maruti,SUV,1802,1176676,20,18,F,Tier3,0,0,0.0,0
ABC-MOT-000017,2024-10-10,2025-10-10,0.2274,0,Maruti,Sedan,1514,1247104,45,42,M,Tier3,0,0,0.0,0
ABC-MOT-000018,2024-06-27,2025-06-27,0.5151,1,Hyundai,Sedan,1555,1072059,25,59,F,Tier2,0,0,0.0,0
ABC-MOT-000019,2024-08-08,2025-08-08,0.4,4,Maruti,SUV,2329,963465,0,42,M,Tier2,1,0,0.0,0
ABC-MOT-000020,2024-12-01,2025-12-01,0.0849,2,Maruti,SUV,2251,1361353,25,41,M,Tier1,0,0,0.0,0
ABC-MOT-000021,2024-01-29,2025-01-28,0.926,6,Maruti,Sedan,1720,595033,35,32,M,Tier2,0,0,0.0,0
ABC-MOT-000022,2024-05-08,2025-05-08,0.6521,1,Kia,Hatchback,1175,549941,0,45,M,Tier1,1,0,0.0,0
ABC-MOT-000023,2024-02-13,2025-02-12,0.8849,9,Maruti,Hatchback,846,200000,45,37,M,Tier2,0,0,0.0,0
ABC-MOT-000024,2024-10-17,2025-10-17,0.2082,6,Maruti,Hatchback,837,301849,0,55,F,Tier1,1,0,0.0,0
ABC-MOT-000025,2024-10-28,2025-10-28,0.1781,3,Hyundai,Hatchback,979,510595,35,29,F,Tier1,0,0,0.0,0
ABC-MOT-000026,2024-09-21,2025-09-21,0.2795,2,Maruti,Hatchback,860,517650,25,34,M,Tier1,0,0,0.0,0
ABC-MOT-000027,2024-08-10,2025-08-10,0.3945,2,Other,Hatchback,997,332563,50,32,M,Tier2,0,0,0.0,0
ABC-MOT-000028,2024-06-23,2025-06-23,0.526,0,Kia,SUV,2089,1875419,20,62,M,Tier1,0,1,25273.0,0
ABC-MOT-000029,2024-01-09,2025-01-08,0.9808,0,Hyundai,SUV,1776,1728307,45,37,F,Tier2,0,0,0.0,0
ABC-MOT-000030,2024-10-10,2025-10-10,0.2274,3,Hyundai,SUV,1598,961998,0,33,M,Tier1,1,0,0.0,0
ABC-MOT-000031,2024-11-23,2025-11-23,0.1068,2,Maruti,SUV,2464,1501362,35,18,M,Tier1,0,0,0.0,0
ABC-MOT-000032,2024-12-19,2025-12-19,0.0356,6,Maruti,Hatchback,948,315704,0,29,M,Tier2,1,0,0.0,0
ABC-MOT-000033,2024-05-05,2025-05-05,0.6603,3,Maruti,Hatchback,1135,488723,45,46,F,Tier1,0,0,0.0,0
ABC-MOT-000034,2024-03-14,2025-03-14,0.8027,1,Maruti,SUV,2124,1670987,45,46,M,Tier2,0,0,0.0,0
ABC-MOT-000035,2024-08-27,2025-08-27,0.3479,2,Maruti,SUV,2162,840704,45,32,M,Tier1,0,0,0.0,0
ABC-MOT-000036,2024-01-07,2025-01-06,0.9863,3,Tata,SUV,2280,1190516,0,32,F,Tier3,1,0,0.0,0
ABC-MOT-000037,2024-01-23,2025-01-22,0.9425,1,Maruti,SUV,1765,1229986,25,62,M,Tier1,0,0,0.0,0
ABC-MOT-000038,2024-10-27,2025-10-27,0.1808,1,Maruti,SUV,1717,1612307,35,72,M,Tier1,0,0,0.0,0
ABC-MOT-000039,2024-12-16,2025-12-16,0.0438,4,Hyundai,SUV,2496,1104042,25,53,F,Tier3,0,0,0.0,0
ABC-MOT-000040,2024-05-27,2025-05-27,0.6,1,Hyundai,SUV,2167,1580265,0,58,M,Tier3,1,0,0.0,0
ABC-MOT-000041,2024-07-04,2025-07-04,0.4959,7,Maruti,SUV,1792,715705,20,61,M,Tier2,0,0,0.0,0
ABC-MOT-000042,2024-07-18,2025-07-18,0.4575,7,Maruti,Hatchback,1058,288501,50,66,M,Tier1,0,0,0.0,0
ABC-MOT-000043,2024-02-20,2025-02-19,0.8658,5,Maruti,Hatchback,957,277987,45,36,M,Tier1,0,0,0.0,0
ABC-MOT-000044,2024-03-22,2025-03-22,0.7808,0,Maruti,Hatchback,1143,566350,20,29,M,Tier2,0,0,0.0,0
ABC-MOT-000045,2024-04-19,2025-04-19,0.7041,6,Honda,Sedan,1504,357142,35,62,M,Tier1,0,0,0.0,0
ABC-MOT-000046,2024-11-04,2025-11-04,0.1589,7,Kia,SUV,1813,734607,45,28,M,Tier1,0,0,0.0,0
ABC-MOT-000047,2024-06-09,2025-06-09,0.5644,5,Hyundai,Hatchback,1076,344377,45,27,F,Tier2,0,0,0.0,0
ABC-MOT-000048,2024-09-20,2025-09-20,0.2822,1,Hyundai,Hatchback,1100,563708,25,27,M,Tier1,0,0,0.0,0
ABC-MOT-000049,2024-03-12,2025-03-12,0.8082,1,Mahindra,SUV,1872,1118893,35,38,M,Tier3,0,0,0.0,0
ABC-MOT-000050,2024-12-14,2025-12-14,0.0493,0,Tata,Hatchback,1100,641412,0,18,M,Tier1,1,0,0.0,0
ABC-MOT-000051,2024-11-19,2025-11-19,0.1178,1,Maruti,SUV,1734,1284004,0,22,F,Tier3,2,0,0.0,0
ABC-MOT-000052,2024-06-22,2025-06-22,0.5288,0,Maruti,Hatchback,895,778296,45,32,M,Tier2,0,0,0.0,0
ABC-MOT-000053,2024-03-23,2025-03-23,0.7781,0,Hyundai,Hatchback,1130,730704,0,25,F,Tier3,1,0,0.0,0
ABC-MOT-000054,2024-12-23,2025-12-23,0.0247,6,Tata,Hatchback,1048,282986,0,52,F,Tier2,1,0,0.0,0
ABC-MOT-000055,2024-10-22,2025-10-22,0.1945,20,Maruti,Hatchback,814,200000,20,40,F,Tier1,0,0,0.0,0
ABC-MOT-000056,2024-07-05,2025-07-05,0.4932,2,Maruti,Hatchback,1070,371109,25,46,F,Tier1,0,0,0.0,0
ABC-MOT-000057,2024-04-07,2025-04-07,0.737,1,Maruti,Hatchback,922,401723,20,45,M,Tier1,0,0,0.0,0
ABC-MOT-000058,2024-08-15,2025-08-15,0.3808,2,Maruti,Hatchback,909,501063,0,37,F,Tier2,1,0,0.0,0
ABC-MOT-000059,2024-05-15,2025-05-15,0.6329,1,Hyundai,Hatchback,969,599845,25,51,M,Tier1,0,0,0.0,0
ABC-MOT-000060,2024-09-03,2025-09-03,0.3288,0,Tata,SUV,1951,1097750,35,45,M,Tier2,0,0,0.0,0
ABC-MOT-000061,2024-10-31,2025-10-31,0.1699,5,Hyundai,Hatchback,1156,259827,45,36,M,Tier3,0,0,0.0,0
ABC-MOT-000062,2024-06-28,2025-06-28,0.5123,7,Maruti,Hatchback,974,250688,45,19,F,Tier1,0,0,0.0,0
ABC-MOT-000063,2024-01-18,2025-01-17,0.9562,7,Maruti,Hatchback,918,200000,25,46,M,Tier2,0,0,0.0,0
ABC-MOT-000064,2024-07-24,2025-07-24,0.4411,20,Honda,MUV,2273,200000,45,24,F,Tier3,0,0,0.0,0
ABC-MOT-000065,2024-11-10,2025-11-10,0.1425,11,Hyundai,SUV,2042,363668,35,44,F,Tier2,0,0,0.0,0
ABC-MOT-000066,2024-03-22,2025-03-22,0.7808,8,Maruti,MUV,1500,540783,0,40,M,Tier1,1,0,0.0,0
ABC-MOT-000067,2024-12-17,2025-12-17,0.0411,5,Maruti,MUV,2132,563241,0,23,M,Tier1,2,0,0.0,0
ABC-MOT-000068,2024-05-12,2025-05-12,0.6411,3,Honda,Hatchback,1000,327597,45,43,M,Tier2,0,0,0.0,0
ABC-MOT-000069,2024-09-07,2025-09-07,0.3178,0,Mahindra,SUV,2074,1056757,20,42,M,Tier1,0,0,0.0,0
ABC-MOT-000070,2024-09-13,2025-09-13,0.3014,5,Toyota,Hatchback,873,244750,20,42,M,Tier2,0,0,0.0,0
ABC-MOT-000071,2024-03-07,2025-03-07,0.8219,3,Tata,SUV,1978,1176070,25,41,M,Tier3,0,1,25539.0,0
ABC-MOT-000072,2024-01-15,2025-01-14,0.9644,7,Hyundai,Hatchback,1058,237102,50,32,M,Tier2,0,0,0.0,0
ABC-MOT-000073,2024-12-13,2025-12-13,0.0521,10,Hyundai,Hatchback,1070,200000,45,47,M,Tier1,0,0,0.0,0
ABC-MOT-000074,2024-09-13,2025-09-13,0.3014,1,Maruti,MUV,2180,1330366,45,31,M,Tier1,0,0,0.0,0
ABC-MOT-000075,2024-08-19,2025-08-19,0.3699,0,Tata,SUV,2497,1758784,25,27,M,Tier3,0,0,0.0,0
ABC-MOT-000076,2024-04-21,2025-04-21,0.6986,4,Tata,MUV,2001,553124,0,48,M,Tier1,3,0,0.0,0
ABC-MOT-000077,2024-02-09,2025-02-08,0.8959,13,Maruti,Hatchback,971,200000,25,51,F,Tier1,0,0,0.0,0
ABC-MOT-000078,2024-04-09,2025-04-09,0.7315,4,Toyota,Hatchback,1016,435258,50,47,M,Tier2,0,0,0.0,0
ABC-MOT-000079,2024-07-19,2025-07-19,0.4548,11,Maruti,Hatchback,931,200000,35,37,M,Tier2,0,0,0.0,0
ABC-MOT-000080,2024-09-10,2025-09-10,0.3096,3,Maruti,Sedan,1389,863647,35,18,M,Tier1,0,0,0.0,0
ABC-MOT-000081,2024-04-26,2025-04-26,0.6849,6,Maruti,Sedan,1614,346329,0,57,M,Tier2,1,0,0.0,0
ABC-MOT-000082,2024-03-19,2025-03-19,0.789,1,Toyota,Hatchback,925,615250,50,18,F,Tier2,0,0,0.0,0
ABC-MOT-000083,2024-04-01,2025-04-01,0.7534,0,Kia,SUV,2248,1118770,20,47,M,Tier1,0,0,0.0,0
ABC-MOT-000084,2024-12-17,2025-12-17,0.0411,0,Hyundai,Hatchback,1098,541198,25,65,M,Tier1,0,0,0.0,0
ABC-MOT-000085,2024-08-18,2025-08-18,0.3726,0,Kia,SUV,2453,1725601,35,41,M,Tier2,0,0,0.0,0
ABC-MOT-000086,2024-12-28,2025-12-28,0.011,0,Toyota,SUV,1631,1689908,20,43,F,Tier1,0,0,0.0,0
ABC-MOT-000087,2024-01-03,2025-01-02,0.9973,9,Honda,SUV,1863,332905,0,44,M,Tier3,1,0,0.0,0
ABC-MOT-000088,2024-06-16,2025-06-16,0.5452,2,Honda,Hatchback,1108,381546,0,42,M,Tier1,1,0,0.0,0
ABC-MOT-000089,2024-06-16,2025-06-16,0.5452,2,Maruti,Hatchback,971,542301,35,68,M,Tier2,0,0,0.0,0
ABC-MOT-000090,2024-05-26,2025-05-26,0.6027,4,Mahindra,Hatchback,1062,279106,0,29,M,Tier2,1,0,0.0,0
ABC-MOT-000091,2024-05-23,2025-05-23,0.611,0,Tata,SUV,2235,1343741,0,28,F,Tier2,1,0,0.0,0
ABC-MOT-000092,2024-01-29,2025-01-28,0.926,10,Mahindra,Sedan,1730,225678,35,36,M,Tier1,0,0,0.0,0
ABC-MOT-000093,2024-01-12,2025-01-11,0.9726,6,Maruti,Hatchback,890,213683,25,60,M,Tier2,0,0,0.0,0
ABC-MOT-000094,2024-10-11,2025-10-11,0.2247,1,Mahindra,MUV,1760,1269286,50,33,M,Tier3,0,0,0.0,0
ABC-MOT-000095,2024-06-10,2025-06-10,0.5616,1,Kia,SUV,1970,972582,20,45,F,Tier1,0,0,0.0,0
ABC-MOT-000096,2024-02-29,2025-02-28,0.8411,2,Maruti,SUV,2006,1186725,45,52,M,Tier1,0,0,0.0,0
ABC-MOT-000097,2024-05-07,2025-05-07,0.6548,1,Other,Sedan,1743,981730,50,49,F,Tier1,0,0,0.0,0
ABC-MOT-000098,2024-12-07,2025-12-07,0.0685,0,Maruti,MUV,1538,881464,35,52,M,Tier1,0,0,0.0,0
ABC-MOT-000099,2024-06-20,2025-06-20,0.5342,2,Maruti,Hatchback,898,501837,35,57,F,Tier1,0,0,0.0,0
ABC-MOT-000100,2024-12-28,2025-12-28,0.011,11,Maruti,Hatchback,1165,200000,20,43,F,Tier3,0,0,0.0,0
ABC-MOT-000101,2024-02-29,2025-02-28,0.8411,5,Mahindra,SUV,2114,950018,0,34,F,Tier3,1,0,0.0,0
ABC-MOT-000102,2024-02-14,2025-02-13,0.8822,16,Hyundai,SUV,2175,228654,20,41,F,Tier3,0,0,0.0,0
ABC-MOT-000103,2024-07-25,2025-07-25,0.4384,10,Maruti,Sedan,1349,327612,35,35,F,Tier1,0,0,0.0,0
ABC-MOT-000104,2024-09-06,2025-09-06,0.3205,5,Tata,Hatchback,1049,297386,50,70,F,Tier2,0,0,0.0,0
ABC-MOT-000105,2024-12-25,2025-12-25,0.0192,9,Maruti,Hatchback,947,226635,20,33,M,Tier1,0,0,0.0,0
ABC-MOT-000106,2024-06-19,2025-06-19,0.537,3,Hyundai,SUV,2232,1101929,35,45,M,Tier1,0,0,0.0,0
ABC-MOT-000107,2024-03-14,2025-03-14,0.8027,5,Toyota,SUV,1590,733977,45,21,M,Tier2,0,0,0.0,0
ABC-MOT-000108,2024-07-17,2025-07-17,0.4603,2,Tata,Hatchback,913,347737,25,41,M,Tier1,0,1,27107.0,0
ABC-MOT-000109,2024-04-22,2025-04-22,0.6959,1,Mahindra,Hatchback,1057,390768,35,36,M,Tier1,0,0,0.0,0
ABC-MOT-000110,2024-03-06,2025-03-06,0.8247,11,Tata,SUV,2103,312787,35,48,M,Tier3,0,0,0.0,0
ABC-MOT-000111,2024-02-02,2025-02-01,0.9151,0,Other,SUV,2340,1319626,35,48,F,Tier2,0,0,0.0,0
ABC-MOT-000112,2024-09-21,2025-09-21,0.2795,0,Maruti,Sedan,1680,1256516,20,57,M,Tier3,0,0,0.0,0
ABC-MOT-000113,2024-08-23,2025-08-23,0.3589,1,Maruti,SUV,1514,1715950,35,56,M,Tier1,0,0,0.0,0
ABC-MOT-000114,2024-03-01,2025-03-01,0.8384,5,Maruti,MUV,1590,497886,35,39,M,Tier3,0,0,0.0,0
ABC-MOT-000115,2024-07-23,2025-07-23,0.4438,2,Hyundai,Hatchback,941,588076,20,28,M,Tier1,0,0,0.0,0
ABC-MOT-000116,2024-11-20,2025-11-20,0.1151,3,Tata,SUV,2458,1148884,0,30,M,Tier1,3,0,0.0,0
ABC-MOT-000117,2024-10-26,2025-10-26,0.1836,11,Mahindra,SUV,1977,367314,35,43,M,Tier2,0,0,0.0,0
ABC-MOT-000118,2024-06-15,2025-06-15,0.5479,8,Maruti,Sedan,1735,457747,35,41,M,Tier2,0,0,0.0,0
ABC-MOT-000119,2024-01-21,2025-01-20,0.9479,6,Maruti,SUV,1559,785922,35,43,F,Tier1,0,0,0.0,0
ABC-MOT-000120,2024-08-20,2025-08-20,0.3671,0,Tata,SUV,2463,1584289,25,33,M,Tier2,0,0,0.0,0
ABC-MOT-000121,2024-07-07,2025-07-07,0.4877,6,Other,Sedan,1236,383465,45,57,M,Tier1,0,0,0.0,0
ABC-MOT-000122,2024-12-03,2025-12-03,0.0795,2,Maruti,Hatchback,1123,393395,25,22,M,Tier3,0,0,0.0,0
ABC-MOT-000123,2024-07-21,2025-07-21,0.4493,0,Maruti,SUV,2376,1870351,0,32,M,Tier1,1,0,0.0,0
ABC-MOT-000124,2024-09-27,2025-09-27,0.263,2,Maruti,Hatchback,917,385197,25,27,M,Tier2,0,0,0.0,0
ABC-MOT-000125,2024-07-12,2025-07-12,0.474,0,Hyundai,Hatchback,920,431630,0,37,F,Tier3,1,0,0.0,0
ABC-MOT-000126,2024-07-16,2025-07-16,0.463,4,Maruti,Sedan,1548,515579,45,54,M,Tier2,0,0,0.0,0
ABC-MOT-000127,2024-04-26,2025-04-26,0.6849,5,Maruti,SUV,2222,782362,45,36,M,Tier3,0,0,0.0,0
ABC-MOT-000128,2024-05-27,2025-05-27,0.6,1,Tata,MUV,1620,981212,20,41,M,Tier2,0,0,0.0,0
ABC-MOT-000129,2024-04-18,2025-04-18,0.7068,0,Maruti,SUV,1736,1892222,35,47,M,Tier1,0,0,0.0,0
ABC-MOT-000130,2024-06-18,2025-06-18,0.5397,14,Maruti,SUV,2254,238284,0,35,M,Tier2,1,0,0.0,0
ABC-MOT-000131,2024-12-14,2025-12-14,0.0493,4,Maruti,Hatchback,1122,443809,0,44,M,Tier2,1,0,0.0,0
ABC-MOT-000132,2024-05-05,2025-05-05,0.6603,7,Kia,Sedan,1292,431887,50,43,F,Tier1,0,0,0.0,0
ABC-MOT-000133,2024-06-18,2025-06-18,0.5397,1,Hyundai,MUV,2389,1071285,35,26,M,Tier1,0,0,0.0,0
ABC-MOT-000134,2024-12-12,2025-12-12,0.0548,8,Maruti,Hatchback,1146,200000,25,34,M,Tier1,0,0,0.0,0
ABC-MOT-000135,2024-02-25,2025-02-24,0.8521,8,Maruti,SUV,2367,465341,20,44,M,Tier1,0,0,0.0,0
ABC-MOT-000136,2024-04-02,2025-04-02,0.7507,0,Tata,Sedan,1344,1220300,0,55,M,Tier3,1,0,0.0,0
ABC-MOT-000137,2024-06-29,2025-06-29,0.5096,20,Toyota,Hatchback,1067,200000,35,55,M,Tier3,0,0,0.0,0
ABC-MOT-000138,2024-05-29,2025-05-29,0.5945,3,Maruti,SUV,1660,989961,50,65,M,Tier2,0,0,0.0,0
ABC-MOT-000139,2024-05-04,2025-05-04,0.663,7,Maruti,Hatchback,878,305382,35,45,F,Tier1,0,0,0.0,0
ABC-MOT-000140,2024-10-11,2025-10-11,0.2247,1,Maruti,Hatchback,828,629115,50,35,F,Tier1,0,0,0.0,0
ABC-MOT-000141,2024-07-01,2025-07-01,0.5041,5,Tata,Hatchback,997,242941,25,39,M,Tier1,0,0,0.0,0
ABC-MOT-000142,2024-05-13,2025-05-13,0.6384,1,Kia,Hatchback,1084,561558,20,38,M,Tier1,0,0,0.0,0
ABC-MOT-000143,2024-06-24,2025-06-24,0.5233,8,Hyundai,Hatchback,879,254471,35,35,M,Tier2,0,0,0.0,0
ABC-MOT-000144,2024-11-20,2025-11-20,0.1151,2,Maruti,SUV,1686,1376503,0,44,F,Tier2,3,0,0.0,0
ABC-MOT-000145,2024-12-26,2025-12-26,0.0164,4,Mahindra,Hatchback,910,271591,0,45,M,Tier2,1,0,0.0,0
ABC-MOT-000146,2024-03-29,2025-03-29,0.7616,2,Mahindra,SUV,1697,969665,20,25,F,Tier1,0,0,0.0,0
ABC-MOT-000147,2024-01-15,2025-01-14,0.9644,3,Maruti,SUV,2332,968872,35,53,M,Tier3,0,0,0.0,0
ABC-MOT-000148,2024-01-12,2025-01-11,0.9726,2,Maruti,Hatchback,867,395398,25,18,M,Tier1,0,0,0.0,0
ABC-MOT-000149,2024-06-12,2025-06-12,0.5562,3,Maruti,Hatchback,911,312944,50,37,M,Tier1,0,0,0.0,0
ABC-MOT-000150,2024-08-18,2025-08-18,0.3726,0,Mahindra,MUV,1805,1292736,45,53,M,Tier1,0,0,0.0,0
ABC-MOT-000151,2024-01-19,2025-01-18,0.9534,8,Tata,SUV,1702,541870,45,47,M,Tier1,0,0,0.0,0
ABC-MOT-000152,2024-07-05,2025-07-05,0.4932,13,Tata,MUV,2441,200000,25,35,M,Tier2,0,0,0.0,0
ABC-MOT-000153,2024-05-26,2025-05-26,0.6027,3,Honda,Hatchback,883,430075,0,63,M,Tier2,3,0,0.0,0
ABC-MOT-000154,2024-12-07,2025-12-07,0.0685,18,Maruti,SUV,1986,200000,35,34,F,Tier2,0,0,0.0,0
ABC-MOT-000155,2024-08-08,2025-08-08,0.4,0,Maruti,SUV,2066,1394736,0,18,M,Tier1,2,0,0.0,0
ABC-MOT-000156,2024-06-03,2025-06-03,0.5808,14,Maruti,MUV,1760,235594,25,45,M,Tier3,0,0,0.0,0
ABC-MOT-000157,2024-08-02,2025-08-02,0.4164,1,Toyota,Hatchback,988,651567,20,18,F,Tier2,0,0,0.0,0
ABC-MOT-000158,2024-02-19,2025-02-18,0.8685,3,Tata,MUV,1670,692763,0,30,M,Tier3,2,0,0.0,0
ABC-MOT-000159,2024-06-22,2025-06-22,0.5288,12,Maruti,Hatchback,993,200000,35,47,M,Tier1,0,0,0.0,0
ABC-MOT-000160,2024-04-30,2025-04-30,0.674,0,Maruti,SUV,1518,1852582,35,34,M,Tier3,0,0,0.0,0
ABC-MOT-000161,2024-03-07,2025-03-07,0.8219,1,Mahindra,Sedan,1463,936433,45,46,F,Tier2,0,0,0.0,0
ABC-MOT-000162,2024-05-23,2025-05-23,0.611,7,Mahindra,SUV,1864,790362,0,26,F,Tier2,1,0,0.0,0
ABC-MOT-000163,2024-08-21,2025-08-21,0.3644,5,Tata,Hatchback,940,268416,25,50,F,Tier1,0,0,0.0,0
ABC-MOT-000164,2024-08-01,2025-08-01,0.4192,1,Maruti,SUV,1610,978627,0,19,M,Tier1,1,0,0.0,0
ABC-MOT-000165,2024-12-18,2025-12-18,0.0384,2,Kia,Hatchback,1199,560386,45,55,F,Tier3,0,0,0.0,0
ABC-MOT-000166,2024-04-10,2025-04-10,0.7288,3,Mahindra,Sedan,1216,677763,20,34,M,Tier1,0,0,0.0,0
ABC-MOT-000167,2024-09-13,2025-09-13,0.3014,10,Tata,SUV,1646,379264,0,58,M,Tier2,1,0,0.0,0
ABC-MOT-000168,2024-07-20,2025-07-20,0.4521,1,Tata,SUV,1602,967744,25,29,M,Tier2,0,0,0.0,0
ABC-MOT-000169,2024-11-15,2025-11-15,0.1288,4,Toyota,Sedan,1786,443039,20,63,M,Tier2,0,0,0.0,0
ABC-MOT-000170,2024-11-28,2025-11-28,0.0932,1,Kia,SUV,1818,995847,35,28,M,Tier1,0,0,0.0,0
ABC-MOT-000171,2024-09-15,2025-09-15,0.2959,1,Tata,Sedan,1458,712963,25,18,M,Tier3,0,0,0.0,0
ABC-MOT-000172,2024-06-04,2025-06-04,0.5781,11,Hyundai,SUV,2250,471378,25,40,F,Tier1,0,0,0.0,0
ABC-MOT-000173,2024-07-14,2025-07-14,0.4685,2,Maruti,SUV,1550,1009247,20,54,M,Tier3,0,0,0.0,0
ABC-MOT-000174,2024-08-26,2025-08-26,0.3507,7,Honda,SUV,1566,729625,35,49,F,Tier1,0,0,0.0,0
ABC-MOT-000175,2024-10-21,2025-10-21,0.1973,1,Tata,SUV,1682,939375,25,53,M,Tier1,0,0,0.0,0
ABC-MOT-000176,2024-03-24,2025-03-24,0.7753,0,Maruti,Sedan,1607,893089,0,49,M,Tier1,1,0,0.0,0
ABC-MOT-000177,2024-11-15,2025-11-15,0.1288,6,Maruti,Hatchback,1191,346551,25,30,M,Tier2,0,0,0.0,0
ABC-MOT-000178,2024-10-20,2025-10-20,0.2,7,Toyota,SUV,2120,497168,45,49,F,Tier2,0,0,0.0,0
ABC-MOT-000179,2024-02-02,2025-02-01,0.9151,5,Toyota,Hatchback,1148,275607,45,41,F,Tier1,0,0,0.0,0
ABC-MOT-000180,2024-04-08,2025-04-08,0.7342,6,Kia,Hatchback,1152,333230,25,31,M,Tier1,0,0,0.0,0
ABC-MOT-000181,2024-03-27,2025-03-27,0.7671,5,Hyundai,SUV,1776,611774,50,42,M,Tier2,0,0,0.0,0
ABC-MOT-000182,2024-07-31,2025-07-31,0.4219,5,Mahindra,Sedan,1310,386252,20,39,M,Tier1,0,0,0.0,0
ABC-MOT-000183,2024-03-17,2025-03-17,0.7945,11,Honda,Sedan,1296,313602,45,56,M,Tier1,0,0,0.0,0
ABC-MOT-000184,2024-04-19,2025-04-19,0.7041,14,Maruti,MUV,2294,200000,50,33,M,Tier2,0,0,0.0,0
ABC-MOT-000185,2024-03-10,2025-03-10,0.8137,3,Maruti,Hatchback,1067,447613,35,33,F,Tier1,0,0,0.0,0
ABC-MOT-000186,2024-01-25,2025-01-24,0.937,0,Other,Hatchback,1145,465761,20,31,M,Tier1,0,0,0.0,0
ABC-MOT-000187,2024-06-17,2025-06-17,0.5425,7,Maruti,Hatchback,1002,204036,0,62,M,Tier1,2,0,0.0,0
ABC-MOT-000188,2024-04-26,2025-04-26,0.6849,4,Tata,Hatchback,1190,351177,25,32,M,Tier2,0,0,0.0,0
ABC-MOT-000189,2024-07-03,2025-07-03,0.4986,12,Tata,SUV,2394,357504,20,55,F,Tier2,0,0,0.0,0
ABC-MOT-000190,2024-03-18,2025-03-18,0.7918,5,Tata,SUV,2308,693399,50,27,M,Tier1,0,0,0.0,0
ABC-MOT-000191,2024-04-14,2025-04-14,0.7178,0,Maruti,SUV,2303,1846170,25,46,M,Tier2,0,0,0.0,0
ABC-MOT-000192,2024-11-22,2025-11-22,0.1096,5,Mahindra,Hatchback,849,370051,35,43,F,Tier1,0,0,0.0,0
ABC-MOT-000193,2024-10-21,2025-10-21,0.1973,3,Maruti,Sedan,1646,702553,35,54,M,Tier1,0,0,0.0,0
ABC-MOT-000194,2024-04-07,2025-04-07,0.737,0,Honda,Hatchback,1178,585316,50,53,M,Tier1,0,0,0.0,0
ABC-MOT-000195,2024-02-29,2025-02-28,0.8411,1,Maruti,SUV,1792,1414677,35,40,M,Tier1,0,0,0.0,0
ABC-MOT-000196,2024-12-22,2025-12-22,0.0274,18,Tata,SUV,2314,200000,50,33,F,Tier2,0,0,0.0,0
ABC-MOT-000197,2024-09-06,2025-09-06,0.3205,2,Mahindra,Hatchback,940,362869,20,59,M,Tier1,0,0,0.0,0
ABC-MOT-000198,2024-06-29,2025-06-29,0.5096,1,Maruti,SUV,1712,1599291,35,32,M,Tier3,0,0,0.0,0
ABC-MOT-000199,2024-09-12,2025-09-12,0.3041,2,Maruti,SUV,2230,1154214,35,18,M,Tier3,0,0,0.0,0
ABC-MOT-000200,2024-03-21,2025-03-21,0.7836,10,Mahindra,Hatchback,866,210748,25,18,M,Tier1,0,0,0.0,0
